phrase;rel_page;2018-10-05;2018-10-06;2018-10-07;2018-10-08;2018-10-09;2018-10-10;2018-10-11;2018-10-12;2018-10-13;2018-10-14;2018-10-15;2018-10-16;2018-10-17;2018-10-18
ahava для сухой кожи;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-osen-i-zimu/nochnoi-vosstanavlivayushchii-krem-dlya-normalnoi-i-suhoi-koji.html;8;8;5;11;9;10;10;11;10;11;12;11;10;14
ahava косметика купить;https://da-vita.ru/catalog/ahava.html;6;7;8;7;6;8;8;8;12;14;12;11;12;11
ahava косметика цена;https://da-vita.ru/catalog/ahava.html;8;8;8;8;6;8;7;4;8;9;9;8;8;9
ahava крем для век;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;18;15;14;16;15;10;11;10;11;10;10;12;13;11
ahava крем для глаз отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ahava крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;45;41;39;43;43;34;44;46;32;50;46;48;41;53
ahava крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;60;58;61;58;58;57;58;28;57;43;34;62;56;51
ahava крем для тела;https://da-vita.ru/catalog/kremi-dlya-tela-ahava.html;9;15;16;14;11;12;11;11;13;12;13;13;7;4
ahava крем увлажняющий для комбинированной кожи;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji/uvlajnyayushchii-dnevnoi-krem-dlya-kombinirovannoi-koji-50ml.html;51;34;66;64;56;63;62;64;61;61;63;63;64;66
ahava маска купить;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;17;17;17;16;13;10;18;22;12;22;10;21;22;22
ahava маска очищающая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;18;15;12;16;13;16;14;12;14;12;15;11;13;11
ahava маска очищающая грязевая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;25;12;14;19;16;18;16;15;17;17;18;21;19;22
ahava ночной крем;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-osen-i-zimu/vosstanavlivayushchii-nochnoi-krem-extreme-30ml.html;7;3;7;13;7;12;10;12;13;11;9;6;8;5
