phrase;rel_page;2018-10-19;2018-10-20;2018-10-21;2018-10-22;2018-10-23;2018-10-24;2018-10-25;2018-10-26;2018-10-27;2018-10-28;2018-10-29;2018-10-30;2018-10-31
ahava для сухой кожи;https://da-vita.ru/catalog/clineral-by-ahava.html;10;10;6;7;7;6;9;9;6;9;9;7;10
ahava косметика купить;https://da-vita.ru/catalog/ahava.html;9;10;10;11;11;11;8;12;12;11;11;9;8
ahava косметика цена;https://da-vita.ru/catalog/ahava.html;9;7;6;8;8;9;9;9;9;9;9;6;6
ahava крем для век;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;12;12;11;13;13;9;9;9;10;10;10;12;12
ahava крем для глаз отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
ahava крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;54;50;46;51;43;39;41;39;47;43;41;32;24
ahava крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;53;53;55;55;55;51;54;52;61;36;60;52;43
ahava крем для тела;https://da-vita.ru/catalog/kremi-dlya-tela-ahava.html;13;11;12;6;14;13;12;14;13;12;12;6;8
ahava крем увлажняющий для комбинированной кожи;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji/uvlajnyayushchii-dnevnoi-krem-dlya-kombinirovannoi-koji-50ml.html;62;62;56;58;60;58;61;59;59;58;59;55;65
ahava маска купить;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;20;18;17;21;18;17;21;20;18;12;14;11;12
ahava маска очищающая;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;13;15;15;18;18;21;22;22;28;26;27;90;86
ahava маска очищающая грязевая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;20;19;20;25;25;27;29;25;29;34;36;39;43
ahava ночной крем;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-osen-i-zimu/vosstanavlivayushchii-nochnoi-krem-extreme-30ml.html;5;11;5;11;11;12;13;12;13;11;11;3;10
ahava омолаживающий крем;https://da-vita.ru/catalog/omolajivayushchie-kremi-ahava.html;21;17;7;8;19;17;22;19;15;16;6;4;5
ahava тональный крем;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;45;47;35;43;45;45;47;46;44;43;42;72;32
ahava увлажняющий крем;https://da-vita.ru/catalog/mineralnye-zajivlyayushchie-maski-dlya-lica/uvlajnyayushchaya-krem-maska.html;92;94;88;91;91;101;101;101;68;66;67;59;80
