phrase;rel_page;2018-10-25;2018-10-26;2018-10-27;2018-10-28;2018-10-29;2018-10-30;2018-10-31;2018-11-01;2018-11-02;2018-11-03;2018-11-04;2018-11-05;2018-11-06;2018-11-07;2018-11-08;2018-11-09
ahava для сухой кожи;https://da-vita.ru/catalog/clineral-by-ahava.html;9;9;6;9;9;7;10;11;11;11;15;16;12;14;12;12
ahava косметика купить;https://da-vita.ru/catalog/ahava.html;8;12;12;11;11;9;8;8;8;10;11;9;9;9;8;6
ahava косметика цена;https://da-vita.ru/catalog/ahava.html;9;9;9;9;9;6;6;6;6;6;7;8;7;7;4;8
ahava крем для век;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;9;9;10;10;10;12;12;15;13;12;12;5;12;5;5;5
ahava крем для глаз отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ahava крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;41;39;47;43;41;32;24;24;26;19;40;28;27;26;19;24
ahava крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;54;52;61;36;60;52;43;39;43;44;48;44;46;23;25;27
ahava крем для тела;https://da-vita.ru/catalog/kremi-dlya-tela-ahava.html;12;14;13;12;12;6;8;4;5;6;10;8;9;7;7;10
ahava крем увлажняющий для комбинированной кожи;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji/uvlajnyayushchii-dnevnoi-krem-dlya-kombinirovannoi-koji-50ml.html;61;59;59;58;59;55;65;64;68;70;70;70;69;69;67;61
ahava маска купить;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;21;20;18;12;14;11;12;11;20;12;25;13;15;4;3;5
ahava маска очищающая;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;22;22;28;26;27;90;86;88;59;82;88;88;89;89;85;82
ahava маска очищающая грязевая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;29;25;29;34;36;39;43;43;44;46;54;47;49;48;46;47
ahava ночной крем;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-osen-i-zimu/vosstanavlivayushchii-nochnoi-krem-extreme-30ml.html;13;12;13;11;11;3;10;10;8;10;11;12;13;13;10;11
ahava омолаживающий крем;https://da-vita.ru/catalog/omolajivayushchie-kremi-ahava.html;22;19;15;16;6;4;5;5;6;9;13;9;9;10;18;4
ahava тональный крем;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;47;46;44;43;42;72;32;32;34;38;46;30;31;30;20;19
ahava увлажняющий крем;https://da-vita.ru/catalog/mineralnye-zajivlyayushchie-maski-dlya-lica/uvlajnyayushchaya-krem-maska.html;101;101;68;66;67;59;80;74;75;76;77;78;79;78;72;70
arganicare;https://da-vita.ru/catalog/arganicare.html;3;5;3;5;3;3;4;3;4;4;4;4;4;4;4;4
arganicare hair;https://da-vita.ru/catalog/arganicare.html;98;98;10;10;9;7;7;7;7;8;8;8;8;8;4;7
bb крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
bb крем с эффектом лифтинга;https://da-vita.ru/catalog/bb-cc-kremi-s-lifting-effektom.html;101;101;101;27;27;101;101;101;101;101;101;101;101;101;101;14
black pearl косметика;https://da-vita.ru/catalog/kosmetika-black-pearl.html;2;2;2;2;2;1;1;1;1;1;3;1;2;1;1;1
black pearl косметика израиль;https://da-vita.ru/catalog/kosmetika-black-pearl.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
black pearl косметика купить;https://da-vita.ru/catalog/kosmetika-black-pearl.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
black pearl молочко;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnoe_ochishchayushchee_molochko_dlya_lica.html;3;3;3;2;2;1;1;1;2;6;2;6;2;2;4;4
black pearl тоник;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnii_osvejayushchii_tonik_dlya_lica.html;2;2;2;2;2;2;3;3;3;3;3;3;3;3;4;3
careline израильская косметика;https://da-vita.ru/catalog/careline.html;3;2;2;2;2;1;1;1;1;1;2;3;3;2;2;2
careline израильская косметика интернет магазин;https://da-vita.ru/catalog/careline.html;3;3;3;3;3;2;2;2;3;3;3;3;3;3;4;4
