phrase;rel_page;2018-11-09;2018-11-10;2018-11-11;2018-11-12;2018-11-13;2018-11-14;2018-11-15;2018-11-16;2018-11-17;2018-11-18;2018-11-19;2018-11-20;2018-11-21;2018-11-22;2018-11-23
ahava для сухой кожи;https://da-vita.ru/catalog/clineral-by-ahava.html;12;10;9;11;15;22;25;24;25;27;29;29;7;9;8
ahava косметика купить;https://da-vita.ru/catalog/ahava.html;6;7;7;5;9;5;6;6;8;6;7;6;4;4;4
ahava косметика цена;https://da-vita.ru/catalog/ahava.html;8;4;3;3;3;3;3;3;2;2;3;2;2;4;2
ahava крем для век;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;5;5;5;5;7;7;6;11;12;9;7;8;7;11;7
ahava крем для глаз отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ahava крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;24;27;19;19;18;20;45;33;29;27;22;45;21;21;28
ahava крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;27;27;26;26;26;25;26;28;30;30;29;22;21;19;19
ahava крем для тела;https://da-vita.ru/catalog/kremi-dlya-tela-ahava.html;10;4;5;11;6;7;6;6;6;7;6;7;6;5;4
ahava крем увлажняющий для комбинированной кожи;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji/uvlajnyayushchii-dnevnoi-krem-dlya-kombinirovannoi-koji-50ml.html;61;62;63;60;65;67;67;68;64;69;67;66;65;63;60
ahava маска купить;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;5;3;3;3;71;3;2;3;2;3;2;2;2;2;2
ahava маска очищающая;-;82;82;48;48;49;44;50;50;101;101;81;101;101;101;101
ahava маска очищающая грязевая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;47;38;37;37;38;39;42;39;39;55;39;38;33;33;33
ahava ночной крем;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-osen-i-zimu/vosstanavlivayushchii-nochnoi-krem-extreme-30ml.html;11;10;11;12;11;11;12;12;16;13;10;11;9;10;10
ahava омолаживающий крем;https://da-vita.ru/catalog/omolajivayushchie-kremi-ahava.html;4;5;4;4;28;5;4;22;29;7;5;6;6;5;5
ahava тональный крем;https://da-vita.ru/catalog/kremi-ahava.html;19;27;19;19;19;19;19;21;21;23;19;20;19;18;40
ahava увлажняющий крем;https://da-vita.ru/catalog/mineralnye-zajivlyayushchie-maski-dlya-lica/uvlajnyayushchaya-krem-maska.html;70;75;74;74;79;76;79;79;83;78;76;76;84;86;88
arganicare;https://da-vita.ru/catalog/arganicare.html;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4
arganicare hair;https://da-vita.ru/catalog/arganicare.html;7;3;3;8;7;3;3;7;85;4;3;5;3;4;4
bb крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
bb крем с эффектом лифтинга;-;14;18;18;20;18;20;20;18;19;18;16;22;101;101;101
black pearl косметика;https://da-vita.ru/catalog/kosmetika-black-pearl.html;1;1;1;1;1;2;1;2;2;2;2;1;1;1;1
black pearl косметика израиль;https://da-vita.ru/catalog/kosmetika-black-pearl.html;2;2;2;2;3;3;2;4;3;3;2;3;2;2;2
black pearl косметика купить;https://da-vita.ru/catalog/kosmetika-black-pearl.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
black pearl молочко;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnoe_ochishchayushchee_molochko_dlya_lica.html;4;5;5;6;10;6;7;7;6;7;5;5;3;3;5
black pearl тоник;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnii_osvejayushchii_tonik_dlya_lica.html;3;4;4;4;4;4;2;2;3;4;3;2;3;4;4
careline израильская косметика;https://da-vita.ru/catalog/careline.html;2;4;3;3;3;3;3;3;3;3;2;3;3;2;3
careline израильская косметика интернет магазин;https://da-vita.ru/catalog/careline.html;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4
dead sea косметика мертвого моря;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
dr sea грязевая маска для волос;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya_maska_dlya_volos_drsea.html;58;58;59;58;59;63;68;58;70;57;53;53;52;61;62
dr sea грязевая маска для лица;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/mineralnaya_gryazevaya_maska_s_aloe_vera_i_dunalielloi.html;45;38;36;36;54;31;32;34;39;51;37;47;33;31;32
dr sea коллагеновый ночной крем;https://da-vita.ru/catalog/kollagen/kollagenovii-nochnoi-krem.html;8;7;7;7;7;6;5;6;5;7;5;6;5;4;4
dr sea косметика купить;https://da-vita.ru/catalog/drsea.html;16;16;15;16;16;14;15;15;14;14;12;13;13;12;13
dr sea косметика отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea крем для глаз;https://da-vita.ru/catalog/kremi-dlya-glaz-dr-sea.html;11;12;11;15;12;12;12;12;26;14;12;12;31;12;21
dr sea крем для кожи глаз;https://da-vita.ru/catalog/kremi-dlya-glaz-dr-sea.html;9;9;20;15;11;10;10;10;10;14;10;10;9;10;10
dr sea крем для ног;https://da-vita.ru/catalog/kremi-dlya-nog-dr-sea.html;38;29;33;31;30;34;33;35;44;33;30;29;27;47;49
dr sea крем от морщин;https://da-vita.ru/catalog/kremi-s-vitaminom-c/krem_dlya_lica_protiv_morshchin_spf_15.html;19;19;18;18;20;23;20;47;19;21;17;18;18;21;18
dr sea крем от морщин вокруг глаз;https://da-vita.ru/catalog/kremi-s-vitaminom-b/krem_ot_morshchin_vokrug_glaz.html;10;10;10;10;10;10;10;10;15;10;14;9;8;10;10
dr sea крем от морщин для лица;https://da-vita.ru/catalog/kremi-s-vitaminom-c/krem_dlya_lica_protiv_morshchin_spf_15.html;19;20;23;16;23;15;11;14;15;16;12;20;12;28;27
dr sea купить;https://da-vita.ru/catalog/drsea.html;15;16;18;16;18;17;18;18;16;17;14;16;14;12;16
dr sea купить в интернет магазине;https://da-vita.ru/catalog/drsea.html;18;18;18;18;18;18;19;19;17;18;17;17;16;16;15
dr sea маска;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea маска для лица;-;101;101;80;81;79;101;101;94;101;101;94;101;101;101;101
dr sea ночной крем отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea пилинг;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea пилинг для лица;https://da-vita.ru/catalog/ochishchenie_koji_lica/piling_dlya_lica_bez_soderjaniya_mila_s_vinogradnimi_kostochkami_i_limonom.html;54;69;69;69;71;55;54;51;54;53;50;54;46;45;48
dr sea тоник для лица;https://da-vita.ru/catalog/kosmetika-s-kastorovim-maslom/mineralnii_ochishchayushchii_tonik_s_ekstraktami_aloe_vera_i_ogurca.html;18;20;20;19;21;21;20;22;47;24;22;22;21;22;22
dr sea укрепляющий и питательный ночной крем;https://da-vita.ru/catalog/kremi-s-vitaminom-c/ukreplyayushchii_i_pitatelnii_nochnoi_krem.html;52;50;53;51;62;53;50;65;66;56;59;47;46;62;47
dr sea шампунь цена;-;101;101;33;101;101;101;101;101;101;101;101;101;101;101;101
dsm mon platin косметика;https://da-vita.ru/catalog/mon-platin-dsm.html;4;4;4;5;6;4;6;5;5;5;5;5;5;5;5
health and beauty крем;https://da-vita.ru/catalog/kremi-health-and-beauty.html;14;15;15;15;15;18;46;20;18;21;16;44;15;15;16
health beauty коллаген крем;https://da-vita.ru/catalog/kosmetika-s-maslom-shi/collagen_day_cream.html;3;5;5;3;4;3;2;2;3;3;3;3;3;3;2
kedem косметика;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3
kedem косметика купить;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1
kedem косметика отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
kreogen израиль косметика;https://da-vita.ru/catalog/kreogen.html;4;2;4;4;4;4;2;4;5;5;5;5;5;5;3
kreogen косметика;https://da-vita.ru/catalog/kreogen.html;3;2;2;2;3;2;2;3;3;3;3;3;3;2;2
mineralium dead sea косметика;https://da-vita.ru/catalog/mineralium.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
mineralium косметика;https://da-vita.ru/catalog/mineralium.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
mon platin;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
mon platin dsm;https://da-vita.ru/catalog/mon-platin-dsm.html;94;101;95;95;94;82;87;87;71;71;71;71;73;64;64
mon platin dsm купить;https://da-vita.ru/catalog/mon-platin-dsm.html;4;4;6;6;4;4;5;6;3;4;4;4;4;3;4
mon platin купить;https://da-vita.ru/catalog/mon-platin.html;5;5;4;9;9;5;7;7;6;6;5;6;6;4;4
naomi косметика;https://da-vita.ru/catalog/naomi.html;62;62;61;61;35;32;31;31;34;35;33;33;31;60;59
naomi косметика мертвого моря;https://da-vita.ru/catalog/naomi.html;21;19;21;22;22;23;22;23;21;24;23;22;21;20;21
premier крем для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
premier крем израиль;https://da-vita.ru/catalog/premier.html;4;4;4;5;4;4;4;4;4;5;4;4;3;4;4
premier серум;https://da-vita.ru/catalog/sivorotki-serumi-premier.html;24;39;29;29;30;29;40;58;30;31;28;29;39;40;29
sea of spa крем для лица;-;17;17;87;87;88;96;101;101;101;101;101;45;101;101;101
sea of spa лосьон;https://da-vita.ru/catalog/losoni-sea-of-spa.html;14;24;14;12;14;13;13;15;13;24;12;36;11;11;11
sea of spa маска для лица;https://da-vita.ru/catalog/maski-dlya-lica-sea-of-spa.html;17;24;24;32;23;23;22;21;21;19;18;18;17;18;17
sea of spa молочко;https://da-vita.ru/catalog/molochko-sea-of-spa.html;7;7;9;8;8;8;12;8;8;10;11;10;8;8;8
sea of spa сыворотка для лица;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/ukreplyayushchii_serum_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;16;13;15;14;17;14;15;14;14;16;13;12;14;11;13
sea of spa тоник;https://da-vita.ru/catalog/toniki-sea-of-spa.html;11;10;10;10;10;10;10;10;19;12;10;11;10;11;11
sea of spa увлажняющий крем;https://da-vita.ru/catalog/uvlajnyayushchie-kremi-sea-of-spa.html;50;41;42;41;43;47;45;45;44;45;56;42;55;39;38
spa pharma dead sea minerals;https://da-vita.ru/catalog/spa-pharma.html;3;3;3;3;3;3;3;3;6;3;3;3;3;3;3
spa pharma mineral gel peeling;https://da-vita.ru/catalog/spa-pharma.html;3;3;3;3;4;4;3;4;5;4;4;4;3;3;3
spa pharma гель;https://da-vita.ru/catalog/spa-pharma.html;3;3;3;3;3;2;2;2;3;3;3;3;3;3;3
spa pharma косметика израиль;https://da-vita.ru/catalog/spa-pharma.html;5;5;5;5;5;4;4;4;5;5;5;5;4;4;4
spa pharma купить;https://da-vita.ru/catalog/spa-pharma.html;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4
spa pharma лосьон;https://da-vita.ru/catalog/sivorotki-balzami-losoni-s-aloe/loson-dlya-lica-dlya-jirnoi-i-problemnoi-koji_spapharma.html;12;29;14;16;15;15;15;16;41;40;20;20;16;16;17
spa pharma маска;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/gryazevaya-maska-dlya-normalnoi-i-jirnoi-koji-lica.html;16;16;18;18;19;18;18;18;18;19;17;17;16;18;18
spa pharma масло;https://da-vita.ru/catalog/uvlajnenie-i-pitanie-koji-tela-spapharma.html;5;5;4;5;6;4;4;5;7;7;5;7;6;5;7
spa pharma шампунь;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi-shampun-dlya-vseh-tipov-volos.html;7;7;9;7;11;11;8;10;10;11;9;10;8;6;8
акне причины;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
альгинатная маска для лица купить;https://da-vita.ru/catalog/alginatnie.html;75;76;50;43;51;50;49;46;53;58;48;55;74;75;75
