phrase;rel_page;2018-11-10;2018-11-11;2018-11-12;2018-11-13;2018-11-14;2018-11-15;2018-11-16;2018-11-17;2018-11-18;2018-11-19;2018-11-20;2018-11-21;2018-11-22;2018-11-23;2018-11-24;2018-11-25;2018-11-26;2018-11-27;2018-11-28;2018-11-29
ahava для сухой кожи;https://da-vita.ru/catalog/clineral-by-ahava.html;10;9;11;15;22;25;24;25;27;29;29;7;9;8;6;7;24;24;48;14
ahava косметика купить;https://da-vita.ru/catalog/ahava.html;7;7;5;9;5;6;6;8;6;7;6;4;4;4;4;6;5;8;6;4
ahava косметика цена;https://da-vita.ru/catalog/ahava.html;4;3;3;3;3;3;3;2;2;3;2;2;4;2;2;2;2;2;3;3
ahava крем для век;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;5;5;5;7;7;6;11;12;9;7;8;7;11;7;7;10;5;5;5;7
ahava крем для глаз отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ahava крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;27;19;19;18;20;45;33;29;27;22;45;21;21;28;21;21;18;18;20;34
ahava крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;27;26;26;26;25;26;28;30;30;29;22;21;19;19;37;18;76;21;42;78
ahava крем для тела;https://da-vita.ru/catalog/kremi-dlya-tela-ahava.html;4;5;11;6;7;6;6;6;7;6;7;6;5;4;3;9;4;5;5;6
ahava крем увлажняющий для комбинированной кожи;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji/uvlajnyayushchii-dnevnoi-krem-dlya-kombinirovannoi-koji-50ml.html;62;63;60;65;67;67;68;64;69;67;66;65;63;60;63;62;60;57;67;60
ahava маска купить;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;3;3;3;71;3;2;3;2;3;2;2;2;2;2;2;12;5;2;9;10
ahava маска очищающая;https://da-vita.ru/catalog/kosmetika-ot-chernih-tochkek/gryazevaya-maska-dlya-lica-ochishchenie-obnovlenie-tona-koji.html;82;48;48;49;44;50;50;101;101;81;101;101;101;101;101;101;100;100;95;89
ahava маска очищающая грязевая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;38;37;37;38;39;42;39;39;55;39;38;33;33;33;32;47;31;40;22;26
ahava ночной крем;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-osen-i-zimu/vosstanavlivayushchii-nochnoi-krem-extreme-30ml.html;10;11;12;11;11;12;12;16;13;10;11;9;10;10;12;9;9;9;14;12
ahava омолаживающий крем;https://da-vita.ru/catalog/omolajivayushchie-kremi-ahava.html;5;4;4;28;5;4;22;29;7;5;6;6;5;5;5;28;6;3;5;8
ahava тональный крем;https://da-vita.ru/catalog/ahava.html;27;19;19;19;19;19;21;21;23;19;20;19;18;40;18;19;31;19;20;20
ahava увлажняющий крем;-;75;74;74;79;76;79;79;83;78;76;76;84;86;88;87;87;85;85;84;101
