phrase;rel_page;2019-01-01;2019-01-02;2019-01-03;2019-01-04;2019-01-05;2019-01-06;2019-01-07;2019-01-08;2019-01-09;2019-01-10;2019-01-11;2019-01-12;2019-01-13;2019-01-14;2019-01-15;2019-01-16;2019-01-17;2019-01-18;2019-01-19;2019-01-20;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18;2019-02-19;2019-02-20;2019-02-21;2019-02-22;2019-02-23;2019-02-24;2019-02-25;2019-02-26;2019-02-27;2019-02-28;2019-03-01;2019-03-02;2019-03-03;2019-03-04;2019-03-05;2019-03-06;2019-03-07;2019-03-08;2019-03-09;2019-03-10;2019-03-11;2019-03-12;2019-03-13;2019-03-14;2019-03-15;2019-03-16;2019-03-17;2019-03-18;2019-03-19;2019-03-20;2019-03-21;2019-03-22;2019-03-23;2019-03-24;2019-03-26;2019-03-27;2019-03-28;2019-03-29;2019-03-30;2019-03-31;2019-04-01;2019-04-02;2019-04-03;2019-04-04;2019-04-05;2019-04-06;2019-04-07;2019-04-08;2019-04-09;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
ahava для сухой кожи;https://da-vita.ru/catalog/ahava.html;11;14;16;9;9;13;12;12;13;9;9;9;10;13;10;8;26;10;10;11;13;9;11;9;11;9;10;15;11;14;10;13;12;10;11;9;9;10;13;14;9;11;28;26;12;8;10;17;7;8;8;30;15;26;27;29;28;22;26;17;21;20;26;23;29;29;29;31;23;29;21;25;27;23;26;32;30;31;34;34;30;32;20;20;26;41;20;37;30;30;31;31;45;45;40;20;38;47;24;45;36;28;34;20
ahava косметика купить;https://da-vita.ru/catalog/ahava.html;7;7;7;7;8;7;8;9;8;8;8;9;6;8;8;7;8;5;6;6;6;6;8;8;7;6;6;6;6;15;8;8;8;8;8;7;8;8;9;8;8;8;10;9;9;8;8;8;9;6;9;9;9;9;10;10;10;10;10;10;9;9;8;9;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;10;7;11;6;13;9;10;11;11;11;11;10;10;8
ahava косметика цена;https://da-vita.ru/catalog/ahava.html;5;7;7;7;7;7;7;7;7;7;7;7;7;7;4;5;5;8;7;8;5;7;5;7;6;6;5;8;7;8;7;7;7;6;5;6;7;7;7;7;7;7;7;7;7;5;7;7;7;5;8;8;7;7;8;9;8;7;7;8;9;9;9;9;9;9;9;9;7;8;8;8;8;8;7;8;8;8;8;8;8;8;8;7;8;9;9;9;9;9;9;9;10;11;11;9;13;11;9;10;11;10;11;8
ahava крем для век;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;5;6;6;8;7;9;8;8;8;10;7;7;8;11;10;9;9;5;6;6;5;7;8;8;9;8;7;8;10;9;9;8;7;7;8;10;8;9;8;9;9;9;11;11;7;8;7;5;6;4;6;11;9;8;8;7;8;9;10;10;8;8;8;8;8;8;11;8;7;8;8;10;8;8;8;13;8;8;8;8;8;9;9;11;12;10;9;10;8;8;9;9;8;11;11;12;11;12;8;14;11;10;12;9
ahava крем для глаз отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ahava крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;13;13;14;20;17;21;21;23;21;21;22;21;10;12;10;9;10;10;10;10;12;14;11;14;12;15;17;18;15;14;13;14;13;15;15;14;18;11;14;13;12;9;16;15;7;9;9;9;9;7;12;16;18;23;25;16;14;25;30;23;12;19;10;15;19;31;14;11;8;21;12;16;30;32;20;20;19;24;12;14;12;13;29;24;22;21;37;38;35;26;26;29;38;15;44;48;43;35;27;43;41;40;40;37
ahava крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;27;101;32;101;101;101;101;101;101;101;101;101;98;35;95;95;90;90;96;19;21;22;21;31;22;18;24;19;15;15;21;20;23;20;23;27;24;26;23;23;33;21;23;22;19;19;25;22;24;25;31;24;34;21;18;17;18;19;22;22;22;22;22;24;22;26;27;32;30;25;25;25;20;21;27;27;26;29;33;35;29;27;28;28;31
ahava крем для тела;https://da-vita.ru/catalog/kremi-dlya-tela-ahava.html;8;9;11;8;11;14;14;14;14;14;14;13;13;14;7;14;12;11;7;10;11;10;16;11;11;10;11;11;11;12;5;6;9;9;9;12;13;8;11;8;15;8;12;12;9;12;5;5;5;5;7;16;9;5;5;7;15;14;14;14;11;9;14;12;16;15;17;16;13;19;15;17;16;18;17;18;17;18;15;14;13;11;12;14;13;14;19;17;16;19;17;16;22;21;13;16;14;16;17;16;15;17;15;21
ahava крем увлажняющий для комбинированной кожи;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji/uvlajnyayushchii-dnevnoi-krem-dlya-kombinirovannoi-koji-50ml.html;60;62;60;59;65;62;62;62;62;65;63;59;60;64;58;62;55;60;58;60;61;54;63;65;69;65;68;66;67;63;64;58;64;67;62;61;60;56;65;58;56;56;66;67;50;58;52;55;49;48;46;72;50;58;51;56;51;53;61;49;57;58;53;53;55;56;57;58;53;57;55;56;53;59;58;60;60;60;60;61;61;54;60;52;48;51;50;47;53;49;65;50;63;64;49;55;60;62;63;56;62;61;63;53
ahava маска купить;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;6;5;7;7;4;14;7;5;7;7;6;5;6;8;12;10;9;8;7;7;7;8;6;6;4;4;5;5;5;4;3;2;1;19;5;2;2;1;3;2;1;1;4;9;1;1;1;1;1;2;6;14;11;14;9;6;11;10;12;13;10;10;8;7;9;12;8;8;5;7;7;7;7;10;7;10;10;12;7;9;6;7;9;7;6;6;9;7;8;7;7;6;7;7;6;6;8;6;7;7;8;7;5;9
ahava маска очищающая;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;41;41;41;57;56;65;56;58;56;43;47;41;41;46;46;95;95;92;43;48;48;88;87;87;87;85;87;82;78;58;90;56;55;55;49;54;82;54;55;60;60;56;68;72;63;55;56;60;57;58;56;68;60;66;41;48;58;41;48;46;79;78;30;80;81;82;30;30;27;27;28;30;28;29;31;29;31;32;30;29;21;18;16;24;19;19;19;20;25;18;20;19;28;29;29;34;26;31;23;28;31;31;18;28
ahava маска очищающая грязевая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;83;85;85;81;80;80;80;80;80;38;42;39;36;43;39;34;35;40;43;44;41;101;45;44;45;51;45;46;45;45;41;44;48;85;91;51;43;41;47;43;44;41;52;53;45;45;40;40;37;51;57;52;48;44;49;49;47;51;53;59;79;79;42;41;56;81;58;57;50;53;52;79;101;81;82;84;84;87;85;85;92;90;91;79;88;87;87;83;90;86;84;84;91;84;84;92;94;89;90;89;101;101;100;96
ahava ночной крем;https://da-vita.ru/catalog/nochnie-kremi-ahava.html;8;10;12;13;10;15;13;13;13;15;15;13;13;16;13;7;9;5;5;10;12;10;13;14;13;13;12;13;13;10;15;12;24;17;25;18;17;21;21;22;20;17;32;29;15;18;13;20;20;17;14;39;20;24;18;21;22;19;30;28;23;23;21;23;27;25;38;34;30;40;32;43;33;31;24;34;33;48;52;50;50;39;43;43;45;40;36;46;45;41;46;45;49;46;43;46;49;47;40;42;42;49;32;37
ahava омолаживающий крем;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-vesnu-i-leto/dnevnoi-krem-dlya-podtyajki-koji-lica-s-shirokim-spektrom-zashchiti-spf-20.html;4;3;4;5;3;6;5;5;4;6;6;5;5;9;8;6;4;3;4;4;7;7;6;7;4;7;8;8;8;7;8;29;9;5;6;6;6;6;26;14;14;10;19;15;5;6;35;6;6;8;12;30;18;24;12;21;22;18;34;15;93;19;92;92;94;94;27;25;16;16;17;15;19;22;20;25;23;25;19;20;16;22;24;24;19;18;16;15;23;24;22;28;21;31;41;39;23;27;23;28;42;48;47;29
ahava тональный крем;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;22;19;22;18;18;20;21;20;20;21;22;20;20;21;18;18;20;17;22;23;20;29;21;23;21;19;23;25;23;17;16;16;18;20;19;19;19;18;35;20;18;18;24;27;19;20;26;24;19;18;23;55;25;35;24;24;22;21;25;25;38;37;42;34;34;34;31;31;32;31;30;32;32;35;34;36;37;42;40;37;36;30;30;38;35;36;39;37;32;34;32;36;43;44;42;30;35;38;40;39;34;35;36;31
ahava увлажняющий крем;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;97;101;96;96;96;101;101;101;101;98;98;101;101;101;95;101;101;101;101;100;101;100;101;101;101;101;101;101;101;101;101;101;101;101;101
arganicare;https://da-vita.ru/catalog/arganicare.html;3;3;3;4;4;5;4;4;3;3;3;4;3;4;3;3;3;3;4;4;4;5;4;4;4;4;4;3;4;3;6;4;3;4;4;3;3;3;3;3;4;3;4;6;3;3;4;3;3;3;3;4;4;6;6;5;6;6;7;4;4;6;8;6;6;5;9;8;8;7;7;7;6;8;8;10;10;8;8;9;7;7;7;7;8;8;8;8;8;8;8;8;10;9;10;11;9;7;7;7;7;6;7;7
arganicare hair;https://da-vita.ru/catalog/arganicare.html;6;5;5;5;5;5;5;6;5;5;5;5;5;5;3;3;7;6;4;5;7;10;10;9;7;4;4;5;8;6;3;4;3;4;3;3;3;3;4;6;9;4;6;8;5;7;3;3;3;6;4;6;3;6;4;3;6;4;5;6;4;4;5;4;4;6;7;6;5;4;6;6;4;5;6;7;7;6;6;6;6;10;10;10;8;10;8;9;9;10;9;10;11;11;12;10;11;11;10;10;11;11;11;11
