phrase;rel_page;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
ahava для сухой кожи;https://da-vita.ru/catalog/ahava.html;24;45;36;28;34;20
ahava косметика купить;https://da-vita.ru/catalog/ahava.html;11;11;11;10;10;8
ahava косметика цена;https://da-vita.ru/catalog/ahava.html;9;10;11;10;11;8
ahava крем для век;https://da-vita.ru/catalog/kremi-dlya-glaz-vek-ahava.html;8;14;11;10;12;9
ahava крем для глаз отзывы;-;101;101;101;101;101;101
ahava крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;27;43;41;40;40;37
ahava крем для рук;https://da-vita.ru/catalog/kremi-dlya-ruk-ahava.html;35;29;27;28;28;31
ahava крем для тела;https://da-vita.ru/catalog/kremi-dlya-tela-ahava.html;17;16;15;17;15;21
ahava крем увлажняющий для комбинированной кожи;https://da-vita.ru/catalog/kremi-dlya-jirnoi-koji/uvlajnyayushchii-dnevnoi-krem-dlya-kombinirovannoi-koji-50ml.html;63;56;62;61;63;53
ahava маска купить;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;7;7;8;7;5;9
ahava маска очищающая;https://da-vita.ru/catalog/maski-dlya-lica-ahava.html;23;28;31;31;18;28
ahava маска очищающая грязевая;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;90;89;101;101;100;96
ahava ночной крем;https://da-vita.ru/catalog/nochnie-kremi-ahava.html;40;42;42;49;32;37
ahava омолаживающий крем;https://da-vita.ru/catalog/kosmetika-dlya-lica-na-vesnu-i-leto/dnevnoi-krem-dlya-podtyajki-koji-lica-s-shirokim-spektrom-zashchiti-spf-20.html;23;28;42;48;47;29
ahava тональный крем;https://da-vita.ru/catalog/kremi-dlya-lica-ahava.html;40;39;34;35;36;31
ahava увлажняющий крем;-;101;101;101;101;101;101
arganicare;https://da-vita.ru/catalog/arganicare.html;7;7;7;6;7;7
arganicare hair;https://da-vita.ru/catalog/arganicare.html;10;10;11;11;11;11
bb крем на лето;-;101;101;101;101;101;101
bb крем с эффектом лифтинга;https://da-vita.ru/catalog/bb-cc-kremi-s-lifting-effektom.html;38;38;43;40;47;42
black pearl косметика;https://da-vita.ru/catalog/kosmetika-black-pearl.html;3;3;3;3;3;3
black pearl косметика израиль;https://da-vita.ru/catalog/kosmetika-black-pearl.html;5;3;4;4;4;5
black pearl косметика купить;https://da-vita.ru/catalog/kosmetika-black-pearl.html;2;2;2;2;2;2
black pearl молочко;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnoe_ochishchayushchee_molochko_dlya_lica.html;7;8;7;8;9;10
black pearl тоник;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnii_osvejayushchii_tonik_dlya_lica.html;6;6;5;5;5;6
careline израильская косметика;https://da-vita.ru/catalog/careline.html;4;4;4;4;4;4
