phrase;rel_page;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18
аджика купить;http://frutoss.ru/shop/specii/smesi-pryanostey/adzhika/;45;37;34;35;38;39;42;41;41;40;38;28;27;32;36;32;33;32;33;39;34;37;36;36;34;31;32;31;31
азерчай;http://frutoss.ru/shop/tea/;17;17;21;22;6;29;25;25;81;13;18;18;20;20;24;24;26;24;24;26;24;29;31;32;29;32;22;21;20
азерчай где купить в спб;http://frutoss.ru/shop/tea/;6;6;6;6;6;6;7;6;6;6;6;8;6;8;8;7;7;7;7;7;7;7;7;8;8;8;8;7;6
азерчай зеленый;http://frutoss.ru/shop/tea/zelenyy-chay/azerchay-zelyonyy-s-cvetami-zhasmina;13;17;17;22;20;19;15;17;16;18;17;14;8;11;10;12;12;9;8;15;7;9;8;8;8;10;16;11;10
азерчай купить;http://frutoss.ru/shop/tea/;7;7;7;7;7;8;9;7;7;8;8;8;9;8;8;8;8;7;9;11;9;8;9;10;8;12;8;9;10
азерчай купить в санкт петербурге;http://frutoss.ru/shop/tea/;3;4;3;3;4;5;5;5;4;3;5;5;5;5;5;5;6;6;5;7;7;7;7;6;6;5;4;6;6
азерчай купить в спб;http://frutoss.ru/shop/tea/;4;3;3;3;3;4;4;4;4;5;5;7;7;6;6;6;6;6;3;4;7;6;6;6;6;4;6;5;4
азерчай купить в спб в магазине;http://frutoss.ru/shop/tea/;4;4;4;4;5;5;5;4;4;4;5;4;5;4;4;4;5;4;4;6;5;5;6;5;5;4;5;5;5
азерчай цена;http://frutoss.ru/shop/tea/;7;8;8;8;11;12;11;12;12;12;12;14;14;13;13;11;14;13;12;15;14;14;14;14;14;15;8;9;13
амарантовое масло купить;http://frutoss.ru/shop/masla/maslo-amarantovoe;57;75;36;73;73;80;81;89;85;77;101;101;101;101;101;101;101;101;101;101;101;100;95;94;94;97;101;101;98
амарантовое масло купить в спб;http://frutoss.ru/shop/masla/maslo-amarantovoe;33;36;34;40;41;40;40;39;38;36;40;37;40;42;41;42;42;32;40;41;41;45;46;43;44;43;47;49;29
амарантовое масло спб;http://frutoss.ru/shop/masla/maslo-amarantovoe;40;28;39;39;39;50;45;42;43;45;45;44;46;49;48;47;49;46;39;47;48;48;49;49;48;48;51;48;55
амарантовое масло цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ананас сушеный купить;http://frutoss.ru/shop/cukaty/ananas/;31;23;18;18;29;29;28;32;32;30;30;30;32;36;26;21;35;31;27;36;35;35;31;33;22;29;14;27;25
ананас цена;http://frutoss.ru/shop/cukaty/ananas/;24;45;44;44;52;46;51;51;47;41;52;84;81;83;85;85;85;53;55;81;81;59;55;59;55;56;46;45;48
ананасы купить в спб;http://frutoss.ru/shop/cukaty/ananas/;28;28;26;28;30;32;32;29;28;30;25;26;36;31;31;32;36;30;38;38;38;40;37;37;35;30;30;27;27
анис купить;http://frutoss.ru/shop/semena-bobovye/anis/;6;12;11;12;9;12;13;14;13;11;10;15;14;15;14;15;14;14;15;21;13;15;15;10;11;12;12;9;8
анис купить в санкт петербурге;http://frutoss.ru/shop/semena-bobovye/anis/;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
анис купить в спб;http://frutoss.ru/shop/semena-bobovye/anis/;5;5;5;5;4;4;5;6;4;4;4;5;5;4;4;4;5;5;5;5;4;4;4;5;4;4;5;5;5
арахис в сахаре купить в спб;http://frutoss.ru/shop/orehi/arahis/;21;20;18;19;20;20;21;19;20;26;24;25;32;24;27;30;29;29;23;26;23;24;26;24;19;20;24;21;23
арахис в скорлупе купить;http://frutoss.ru/shop/orehi/arahis/;12;11;11;10;16;21;14;26;16;17;14;14;15;20;10;20;22;20;29;30;27;17;9;17;15;11;5;14;12
арахис дробленый;http://frutoss.ru/shop/orehi/arahis/drob-arahis/;1;1;1;2;1;2;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1
арахис жареный дробленый 2 4;http://frutoss.ru/shop/orehi/arahis/drob-arahis/;3;3;2;2;3;3;4;8;7;3;3;3;9;3;3;3;3;6;4;8;7;7;7;9;9;8;12;9;5
арахис жареный купить;http://frutoss.ru/shop/orehi/arahis/;17;21;21;21;23;18;19;22;21;20;20;23;20;27;26;26;27;28;22;26;23;24;25;25;22;18;9;10;18
арахис жареный очищенный купить;http://frutoss.ru/shop/orehi/arahis/;2;2;3;3;4;2;2;5;2;3;3;3;2;3;3;3;3;4;3;3;3;4;4;4;3;3;3;3;3
арахис купить;http://frutoss.ru/shop/orehi/arahis/;10;10;9;9;14;10;12;16;13;5;10;11;12;11;9;15;17;12;5;11;9;10;10;8;8;6;10;10;3
арахис оптом;http://frutoss.ru/shop/orehi/arahis/;23;30;27;26;27;34;35;33;33;30;31;30;29;31;34;31;37;36;30;30;27;24;26;21;23;18;24;24;23
арахис оптом купить;http://frutoss.ru/shop/orehi/arahis/;22;23;19;21;29;29;30;29;31;31;27;23;26;26;29;29;31;29;27;26;24;25;28;26;23;14;29;27;23
арахис сырой купить;http://frutoss.ru/shop/orehi/arahis/;9;9;9;10;15;14;14;15;13;14;7;14;15;18;17;19;19;14;17;16;14;10;17;17;7;10;19;18;6
арахис цена;http://frutoss.ru/shop/orehi/arahis/;8;9;8;8;12;12;16;19;16;11;16;14;15;19;18;18;20;20;16;17;15;16;16;16;15;10;15;15;12
арахисовое масло где купить в спб;http://frutoss.ru/shop/masla/;33;39;33;36;42;34;42;35;43;41;38;37;37;30;43;41;42;41;32;42;42;43;44;45;47;41;42;79;80
арахисовое масло купить;http://frutoss.ru/shop/masla/maslo-arashisa;31;37;32;32;31;33;30;30;29;33;34;31;38;34;33;38;44;43;41;35;38;36;38;34;35;42;36;35;38
арахисовое масло купить спб;http://frutoss.ru/shop/masla/maslo-arashisa;37;45;38;39;40;36;38;41;40;38;51;38;41;43;41;42;47;45;39;39;39;40;40;42;43;41;40;44;36
арбузное масло купить;http://frutoss.ru/shop/masla/maslo-arbuznoe;33;36;29;30;29;25;25;26;25;25;21;21;24;22;21;22;24;27;9;30;30;27;29;28;27;11;29;25;32
бадьян где купить;http://frutoss.ru/shop/specii/badyan;35;36;31;30;32;27;31;34;29;31;30;31;31;35;37;39;37;36;38;39;35;38;39;40;38;39;40;29;36
бадьян купить;http://frutoss.ru/shop/specii/badyan;21;14;20;20;22;21;23;22;21;21;21;24;22;24;30;25;24;28;25;24;24;24;23;35;32;27;27;22;24
бадьян купить в спб;http://frutoss.ru/shop/specii/badyan;10;10;10;10;10;11;11;11;11;8;9;12;10;9;11;9;9;11;11;11;10;14;11;14;13;11;12;13;8
баклажаны сушеные купить в спб;http://frutoss.ru/shop/specii/sushenye-ovoshchi/baklazhany-sushenye;8;8;7;7;7;5;4;4;4;5;5;4;5;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5
